Shear_Strain_(%)	Shear_Stress_(kPa)	Axial_Strain_(%)	Effective_Vertical_Stress_(kPa)
0.007346	-3.364899	-0.001772	4.583194
-0.031262	-3.492005	0.001956	4.796768
-0.065686	-3.701036	0.006601	5.024133
-0.094357	-3.80766	0.002139	5.288627
-0.1217	-3.995307	0.001711	5.601563
-0.170185	-4.114506	-0.002934	5.922632
-0.216363	-4.327227	0.004584	6.257492
-0.262664	-4.350042	0.01149	6.578915
-0.300537	-4.565775	0.02683	6.939234
-0.352899	-4.813586	0.004095	7.20691
-0.389323	-5.105823	0.000917	7.669066
-0.426972	-5.240157	-0.009106	8.079242
-0.454765	-5.491055	0.002872	8.479872
-0.516594	-5.79519	0.00874	8.885451
-0.563997	-6.000606	0.016135	9.316844
-0.640642	-6.287949	-0.011795	9.803752
-0.701308	-6.524088	0.013873	10.244692
-0.76373	-6.78101	0.004339	10.686339
-0.820968	-7.049453	0.004584	11.196585
-0.855331	-7.363527	-0.001467	11.697637
-0.903816	-7.538824	-0.004828	12.368063
-0.946505	-7.888289	-0.013445	12.693022
-0.986663	-8.073751	0.013262	13.381836
-1.027373	-8.47073	0.000672	13.871219
-1.065797	-8.745422	0.010451	14.441223
-1.110241	-9.133365	0.017785	14.968795
-1.157399	-9.329219	0.00874	15.619774
-1.198558	-9.705716	0.011979	16.163965
-1.249654	-10.055708	0.0044	16.83616
-1.271039	-10.43454	0.00929	17.31246
-1.30475	-10.80682	0.002384	18.056789
-1.344174	-11.113214	-0.006356	18.677358
-1.381313	-11.570959	0.01534	19.414261
-1.41386	-11.851676	0.006539	20.013968
-1.449774	-12.231486	-0.009351	20.520678
-1.478852	-12.554144	0.021452	21.257581
-1.517583	-12.927856	0.019985	21.89972
-1.544559	-13.353222	0.016318	22.520642
-1.562251	-13.667673	0.004584	23.084635
-1.584779	-14.025496	0.016562	23.776278
-1.614408	-14.360353	0.010756	24.412759
-1.644956	-14.659141	0.007517	25.240538
-1.662179	-15.097986	0.023713	25.852974
-1.682462	-15.413641	0.018579	26.660244
-1.712622	-15.809114	0.001161	27.258536
-1.755148	-16.134107	0.018029	28.072171
-1.783308	-16.582138	0.000428	28.628031
-1.803958	-16.760598	-0.001222	29.021235
-1.801816	-16.235686	-0.007884	28.964305
-1.757086	-13.717371	-0.002017	27.185341
-1.733579	-11.62013	0.01314	25.363591
-1.733742	-11.502286	0.014668	25.072224
-1.733905	-11.602962	0.011734	25.007161
-1.73413	-11.44024	0.002689	24.927601
-1.718417	-9.963843	0.002628	23.714398
-1.687298	-7.819314	-0.005195	21.294356
-1.671137	-6.306925	0.011184	19.444317
-1.658485	-5.36154	0.011734	17.838971
-1.644691	-4.505234	-0.004584	16.320964
-1.629856	-3.695841	0.001161	14.952176
-1.616592	-2.973568	0.024691	13.686286
-1.606838	-2.530054	0.019802	12.687365
-1.596859	-2.151298	0.016073	11.961776
-1.593125	-2.123738	0.014118	11.635403
-1.588126	-2.122684	-0.000733	11.439862
-1.573944	-1.451314	0.010206	10.216404
