Shear_Strain_(%)	Shear_Stress_(kPa)	Axial_Strain_(%)	Effective_Vertical_Stress_(kPa)
0.0047624	1.1668	-0.0064554	60.573
0.030442	3.8335	0.0034429	60.2
0.046618	6.4632	0.010021	60.057
0.078723	8.6403	-0.0019674	59.912
0.077656	8.5901	-0.0096524	59.727
0.073879	7.9851	-0.0020289	59.734
0.062137	7.579	0.00067628	59.705
0.05953	7.4634	-0.00055332	59.74
0.01402	6.2583	0.015493	59.705
0.0016217	3.7598	0.0023977	59.894
-0.0087858	1.6555	-0.0052258	60.187
-0.011188	1.1956	-0.009345	60.334
-0.0083137	1.2138	-0.0034429	60.32
-0.013158	1.1494	0.0071317	60.448
-0.010777	0.89972	0.0059636	60.61
-0.015929	0.61391	-0.00055332	60.827
-0.018495	0.17303	-0.0086073	61.067
-0.030442	-0.24887	0.0085458	61.258
-0.027692	-0.64137	0.01328	61.54
-0.033912	-1.6146	-0.001537	61.893
-0.044894	-3.2593	0.007808	62.364
-0.054583	-5.6438	0.0096524	62.996
-0.077368	-8.2681	0.010021	63.428
-0.08328	-8.6441	0.0046725	63.422
-0.080078	-8.2699	-0.0012296	63.259
-0.05565	-6.7105	-0.00079924	62.501
-0.048301	-6.4026	0.00067628	62.386
-0.048117	-6.3612	0.02576	62.34
-0.037791	-5.8581	0.00043036	62.147
-0.033829	-4.9455	-0.0017829	61.814
-0.027261	-4.131	-0.00055332	61.39
-0.021287	-3.5083	0.0090991	61.111
-0.020856	-2.8831	-0.00049184	60.799
-0.021164	-2.4562	0.0039347	60.501
-0.020692	-2.1172	0.0024592	60.227
-0.013795	-1.9664	-0.021211	60.059
-0.015108	-1.9593	-0.0044266	60.073
-0.013158	-1.4786	0.01205	59.81
0.0057272	0.75831	0.0088532	59.305
0.022601	3.4343	-0.0095909	58.882
0.04631	6.0363	0.023117	58.664
0.078436	8.5599	-0.011374	58.548
0.077758	8.7231	-0.0052258	58.547
0.066201	8.245	-0.0091606	58.343
0.021841	6.0939	0.0071317	58.419
0.016566	5.9502	-0.0057177	58.428
0.016012	5.9054	0.015247	58.38
0.0046187	4.4326	-0.0030125	58.49
-0.0092169	2.0826	0.022871	58.789
-0.014759	1.2262	-0.0042421	58.997
-0.01051	1.1987	-0.009345	58.954
-0.012645	1.2177	-0.001537	58.987
-0.012973	0.95401	0.0068858	59.131
-0.014226	0.65161	-0.0071932	59.349
-0.019871	0.27725	0.0034429	59.517
-0.031038	-0.17853	-0.00049184	59.73
-0.031633	-0.5443	-0.0054103	59.948
-0.029334	-1.024	0.0031355	60.196
-0.041876	-2.6143	-0.0086073	60.792
-0.056163	-4.6758	-0.0032585	61.258
-0.064806	-6.927	0.0053488	61.825
-0.086072	-8.501	-0.0088532	62.155
-0.086154	-8.3704	-0.020473	62.147
-0.066448	-7.3642	-0.0064554	61.478
-0.050005	-6.5646	0.0068243	61.157
-0.050847	-6.4952	0.0019674	61.05
-0.050518	-6.4833	-0.027113	61.044
-0.033275	-5.495	0.0014755	60.645
-0.033173	-4.7234	-0.0036273	60.266
-0.031222	-4.0365	-0.010636	59.917
-0.031222	-3.3704	-0.0039347	59.578
-0.023319	-2.7398	-0.0051644	59.275
-0.015211	-2.3204	-0.015001	59.008
-0.020035	-1.9916	-0.011558	58.811
-0.015355	-1.9316	0.011128	58.689
-0.01636	-1.929	-0.0036273	58.678
-0.01439	-1.1884	-0.0086073	58.43
0.007472	1.1299	0.013772	57.936
0.024202	3.8271	0.001414	57.524
0.041938	6.1111	0.0092835	57.347
0.074618	8.5487	0.0065784	57.287
0.076937	8.8489	-0.0089147	57.327
0.073222	8.4343	-0.0054103	57.133
0.019604	5.9934	-0.0019674	57.135
0.01788	5.8183	-0.0027666	57.096
0.019029	5.7908	-0.0022748	57.139
0.0042492	4.2317	-0.0030125	57.23
-0.0048445	2.1193	-0.0022748	57.509
-0.012645	1.2225	-0.010144	57.726
-0.010346	1.197	0.0046725	57.723
-0.010182	1.1728	-0.0091606	57.74
-0.010777	0.97731	0.0017215	57.843
-0.012748	0.7171	0.015923	58.03
-0.015047	0.45417	-0.011743	58.298
-0.023976	-0.031376	0.0049184	58.515
-0.026193	-0.42401	-0.0088532	58.719
-0.029313	-0.69922	-0.006148	59.021
-0.038694	-2.1226	-0.00049184	59.395
-0.051914	-4.205	-0.0059021	60.027
-0.066509	-6.7572	0.0078695	60.616
-0.082685	-8.2442	-0.010083	60.888
-0.077841	-8.1399	-0.003197	60.841
-0.06109	-7.0312	-0.0012911	60.213
-0.051832	-6.3079	-0.010083	59.867
-0.050765	-6.2666	-0.00018444	59.903
-0.047234	-6.2265	0.0017829	59.801
-0.041055	-5.2585	0.0019674	59.401
-0.032618	-4.4882	-0.004611	59.089
-0.023381	-3.8787	0.003197	58.749
-0.022272	-3.2183	-0.0017215	58.398
-0.018228	-2.6471	-0.0010452	58.053
-0.01675	-2.2421	0.0051029	57.782
-0.012748	-1.9777	0.022133	57.517
-0.018249	-1.9208	-0.010636	57.465
-0.016915	-1.895	0.00049184	57.468
-0.010346	-0.84504	-0.00098369	57.15
0.0077184	1.6912	0.003197	56.602
0.026604	4.5245	0.0059021	56.264
0.053433	7.0566	-0.00092221	56.16
0.073078	8.451	-0.016723	56.107
0.076937	8.342	0.0026437	55.995
0.025146	6.4609	0.0055947	55.998
0.015416	5.5421	0.0036888	55.963
0.014759	5.4626	0.006148	55.989
0.010264	5.1737	-0.011804	55.995
-0.0090321	2.6178	0.013464	56.225
-0.017838	1.3043	-0.0096524	56.504
-0.014061	1.2036	0.0036273	56.555
-0.013548	1.1712	0.0086073	56.499
-0.014369	1.0753	0.0029511	56.643
-0.014226	0.80083	0.0078695	56.964
-0.019234	0.56376	0.00092221	57.205
-0.027569	0.18248	-0.0017829	57.467
