 max1, max3, max5, max7, max9, max11, max13, max15, max17, max19, max21, max23, max25, max27, max29, max31, max33, max35, max37, max39, max41, max43, max45, max47,max49
0.346765,0.346765,0.346765,0.346765,0.346764,0.345469,0.394391,0.463394,0.534618,0.606657,0.675859,0.723951,0.765502,0.766679,0.76577,0.764994,0.764523,0.764184,0.763836,0.763645,0.763508,0.763358,0.763289,0.763286,0.763257
0.351978,0.351978,0.351977,0.351977,0.351978,0.351099,0.383697,0.409335,0.440217,0.470227,0.50243,0.533062,0.561486,0.583897,0.597832,0.603815,0.603625,0.60334,0.603076,0.603017,0.602925,0.602925,0.602931,0.602954,0.602967
0.350478,0.350478,0.350478,0.350478,0.350477,0.351076,0.351471,0.353315,0.351535,0.350453,0.349344,0.352239,0.437264,0.507781,0.593862,0.671796,0.671762,0.671834,0.6718,0.6723,0.672111,0.672236,0.672389,0.672516,0.672698
0.350945,0.350945,0.350944,0.350944,0.350944,0.35048,0.350073,0.349464,0.348848,0.349265,0.395831,0.452433,0.514494,0.571071,0.62079,0.667281,0.667539,0.667494,0.667807,0.667859,0.667804,0.667648,0.66713,0.667035,0.667101
0.348075,0.348074,0.348075,0.348074,0.348074,0.346514,0.346868,0.352215,0.407252,0.479395,0.545492,0.617785,0.690827,0.744999,0.747735,0.74865,0.74858,0.748616,0.748563,0.748674,0.748618,0.748615,0.748436,0.748344,0.748255
0.346875,0.346875,0.346874,0.346874,0.346874,0.346882,0.40957,0.469042,0.532081,0.594338,0.662085,0.717972,0.757057,0.757144,0.756647,0.756362,0.756121,0.756015,0.75585,0.7557,0.755575,0.755443,0.755369,0.755345,0.755317
0.347378,0.347378,0.347377,0.347377,0.347378,0.347505,0.381222,0.442891,0.504266,0.563925,0.630683,0.690242,0.734015,0.751651,0.752192,0.752209,0.752088,0.751953,0.751823,0.751695,0.751629,0.751543,0.751493,0.751439,0.75147
0.350722,0.350721,0.350722,0.350722,0.350721,0.351281,0.352005,0.35229,0.352255,0.352897,0.39653,0.454119,0.512969,0.571927,0.632817,0.686629,0.686691,0.686593,0.686893,0.686981,0.686892,0.686803,0.686343,0.686246,0.686182
0.34782,0.34782,0.347819,0.347819,0.347819,0.346509,0.347301,0.360273,0.424581,0.491178,0.565538,0.632455,0.70149,0.75913,0.761408,0.762053,0.761978,0.762055,0.762015,0.762123,0.762109,0.762011,0.761726,0.761489,0.761413
0.350945,0.350945,0.350944,0.350944,0.350944,0.35048,0.350073,0.349464,0.348848,0.349265,0.395831,0.452433,0.514494,0.571071,0.62079,0.667281,0.667539,0.667494,0.667807,0.667859,0.667804,0.667648,0.66713,0.667035,0.667101
0.351686,0.351686,0.351685,0.351685,0.351684,0.351389,0.384782,0.41526,0.449533,0.482462,0.51513,0.547045,0.581414,0.604973,0.618467,0.625779,0.62531,0.625013,0.624734,0.624595,0.624566,0.624525,0.624491,0.62447,0.624489
0.350508,0.350508,0.350507,0.350507,0.350507,0.350416,0.394256,0.429479,0.465954,0.499242,0.538417,0.5774,0.61978,0.650873,0.666301,0.666217,0.66581,0.665665,0.665526,0.665367,0.665277,0.665242,0.665229,0.665214,0.665221
0.350945,0.350945,0.350944,0.350944,0.350944,0.35048,0.350073,0.349464,0.348848,0.349265,0.395831,0.452433,0.514494,0.571071,0.62079,0.667281,0.667539,0.667494,0.667807,0.667859,0.667804,0.667648,0.66713,0.667035,0.667101
0.351685,0.351685,0.351684,0.351684,0.351684,0.351679,0.383955,0.416315,0.449436,0.480522,0.509778,0.538548,0.57354,0.597542,0.614021,0.619046,0.618747,0.618438,0.618244,0.618198,0.618185,0.618248,0.61822,0.618242,0.618281
