eval_id	interface	Dr	G0	hpo	nCycles.CovMultiplier	nCycles_1	nCycles_2	nCycles_3	nCycles_4	nCycles_5	nCycles_6	
65	1	0.49848922724478995	234.60587851182177	0.39191782670526104	0.8030423753743654	23.25	23.25	9.5	5.25	3.25	2.25	
66	1	0.6255878255381105	141.45384432107778	0.0763200830517406	0.44326599200270195	9.25	9.25	4.25	2.25	1.5	1.25	
67	1	0.7412669621555641	313.89103654773004	0.01749154272408685	1.4894409387433714	93.25	93.25	37.5	20.25	12.25	7.25	
68	1	0.6804936568348352	307.3498711000579	0.03900157105761888	1.109622051594669	32.5	32.5	14.25	7.5	4.5	3.25	
69	1	0.6255878255381105	141.45384432107778	0.0763200830517406	0.44326599200270195	6.5	6.5	3.25	1.5	1.25	0.5	
70	1	0.7310997768996477	291.42624010157755	0.019519992258737004	1.3509229125944793	41.25	41.25	17.25	10.25	6.5	3.5	
71	1	0.5066762268664101	173.37386903433892	0.35544091600753325	0.5687864174539325	23.25	23.25	9.5	5.25	3.25	1.5	
72	1	0.6226486482251989	134.54321176270875	0.0787662624461743	0.33674003233859745	20.5	20.5	8.25	4.25	2.5	1.25	
73	1	0.6087493123584277	317.24622867231324	0.09701923233590143	1.0276541917341464	27.25	27.25	11.25	6.25	4.25	2.5	
74	1	0.45570627830376076	352.23757924391265	0.6941914274679656	0.50229810741774	25.5	25.5	10.5	5.5	3.5	2.25	
75	1	0.4695416943757721	307.717390786684	0.5730210011094661	1.102710263218667	24.25	24.25	9.5	5.5	3.25	2.25	
76	1	0.6193556492146078	285.9910190513089	0.08889996386571018	0.9918037183985384	32.25	32.25	13.25	7.25	4.5	2.5	
77	1	0.5474414349264216	108.60437197827133	0.22742679719710843	0.610388936273565	26.5	26.5	10.5	5.5	3.25	1.5	
78	1	0.4602279144105479	364.0495393248994	0.684361684740651	0.6351119164865006	26.5	26.5	11.25	6.25	3.5	2.25	
79	1	0.5729320127336627	334.5026783839375	0.1803604330800512	0.7621074371157537	24.5	24.5	10.25	5.5	3.5	2.5	
80	1	0.4803258880428775	371.6099234070298	0.48396543759406785	0.5525515980921913	19.5	19.5	8.25	4.5	2.5	1.5	
81	1	0.6356463537448489	142.10738605106934	0.06294760081816561	0.5878247240042621	30.25	30.25	12.25	6.5	4.25	2.25	
82	1	0.4992396132535439	238.06662122675692	0.4168638396391373	0.9348575118410367	24.25	24.25	9.5	5.25	3.25	1.5	
83	1	0.5002862844479056	233.94028909548575	0.4206087502409526	1.0739865405527629	24.25	24.25	9.5	5.5	3.25	1.5	
84	1	0.5238979584260193	291.9569167194826	0.26445527000929303	1.5155448898362796	22.5	22.5	9.5	5.25	3.25	2.25	
85	1	0.5474414349264216	108.60437197827133	0.22742679719710843	0.610388936273565	25.5	25.5	10.25	5.25	3.25	1.5	
86	1	0.48456976099909566	238.57777667027483	0.4610118341053939	1.009440014379679	21.25	21.25	8.5	4.5	2.5	1.5	
87	1	0.4602279144105479	364.0495393248994	0.684361684740651	0.6351119164865006	27.25	27.25	11.25	6.25	3.5	2.25	
88	1	0.6255878255381105	141.45384432107778	0.0763200830517406	0.44326599200270195	23.5	23.5	9.5	5.25	3.25	1.5	
89	1	0.7480221009091996	326.4118317976624	0.011007040537711295	1.401689663514279	85.25	85.25	35.25	18.5	11.5	6.5	
90	1	0.7394378968535674	309.04155090546686	0.018269255018814386	1.533838182059802	42.25	42.25	17.5	10.25	6.5	3.5	
91	1	0.49977320300210026	186.918405198873	0.4652155628172422	1.3530140551895746	23.25	23.25	9.25	5.25	3.25	1.5	
92	1	0.5257265809722981	184.14876264796982	0.2980415887900817	1.055923052524845	20.25	20.25	8.25	4.5	2.5	1.5	
93	1	0.5068066202120497	225.27444579028796	0.3653158374956008	0.6891406528920435	23.5	23.5	9.5	5.25	3.25	1.5	
94	1	0.5250722569813135	239.34933738028795	0.35808536292830156	1.2408053874936376	29.25	29.25	11.5	6.5	4.25	2.25	
95	1	0.7390413273692963	317.0887942249621	0.018579067272274367	1.4926389047911974	61.25	61.25	25.25	14.25	8.5	5.5	
96	1	0.5239197307665572	167.90365016723547	0.32232414676550497	0.7426362721497008	26.25	26.25	10.5	5.5	3.25	1.5	
97	1	0.7331428838792747	278.44140264628	0.01565369548253508	1.0275339597030246	32.5	32.5	14.25	7.5	4.5	3.25	
98	1	0.4884132350814083	354.5513577428414	0.4556208074376225	0.46724955457850115	25.5	25.5	10.5	6.25	3.5	2.25	
99	1	0.5729320127336627	334.5026783839375	0.1803604330800512	0.7621074371157537	29.5	29.5	12.5	6.5	4.25	2.5	
100	1	0.6356463537448489	142.10738605106934	0.06294760081816561	0.5878247240042621	10.5	10.5	4.5	2.5	1.5	1.25	
101	1	0.5744308353136128	303.8391264318671	0.15539447858755168	1.2928189312042377	20.25	20.25	8.5	5.25	3.25	2.25	
102	1	0.7390413273692963	317.0887942249621	0.018579067272274367	1.4926389047911974	36.5	36.5	15.25	9.25	6.25	4.25	
103	1	0.6255878255381105	141.45384432107778	0.0763200830517406	0.44326599200270195	29.5	29.5	12.25	6.5	3.5	2.25	
104	1	0.608314481795649	134.12702412537664	0.1008098560345827	0.25738580735290395	27.25	27.25	10.5	5.5	3.25	1.5	
105	1	0.6255878255381105	141.45384432107778	0.0763200830517406	0.44326599200270195	27.25	27.25	10.5	5.5	3.25	1.5	
106	1	0.5744308353136128	303.8391264318671	0.15539447858755168	1.2928189312042377	20.5	20.5	8.5	4.5	3.25	2.25	
107	1	0.48575260811118737	263.6357370629949	0.48171835128103924	0.7683287073723538	25.5	25.5	10.5	5.5	3.5	2.25	
108	1	0.6255878255381105	141.45384432107778	0.0763200830517406	0.44326599200270195	31.25	31.25	12.5	6.5	4.25	2.25	
109	1	0.5744308353136128	303.8391264318671	0.15539447858755168	1.2928189312042377	21.25	21.25	9.25	5.25	3.25	2.25	
110	1	0.4602279144105479	364.0495393248994	0.684361684740651	0.6351119164865006	27.25	27.25	11.25	6.25	3.5	2.25	
111	1	0.6226486482251989	134.54321176270875	0.0787662624461743	0.33674003233859745	31.5	31.5	13.25	7.25	4.25	2.25	
